Tên trang bị,Loại,Độ hiếm,Hiệu ứng / Kỹ năng,Map Chaos,Vị trí file ảnh PNG hoàn chỉnh
An Eye Plucked from a Mural,Trinket,Mystic,"At the start of the turn, increase Damage Amount of this unit by 20% for each ally Persona Card in hand",Theater of Illusions,czn_equipment_images\An_Eye_Plucked_from_a_Mural.png
Announcement of Catastrophe,Armor,Mystic,+12% Defense. Decrease the number of Break Recovery cards required by all Combatants by 1.,Beat Senectus,czn_equipment_images\Announcement_of_Catastrophe.png
Bangle of Valor,Armor,Mystic,"Increase Damage Amount of ally Arena cards by 20%.
At the start of battle, create 1 Forgotten Sword.",Burning Life,czn_equipment_images\Bangle_of_Valor.png
Branch of Eternity,Weapon,Mystic,"On Heal or Recover, Fixed Damage to all enemies equal to 50% of Recover amount.",Swamp of Judgment,czn_equipment_images\Branch_of_Eternity.png
Brilliant Eternal Flame,Weapon,Mystic,Increase Damage Amount of 2-cost or higher Exhaust cards by 40%.,Burning Life,czn_equipment_images\Brilliant_Eternal_Flame.png
Chimeranite,Weapon,Mystic,"When you Draw by an ability, +35% Damage amount to your own Attack Card(s) for 1 turn (Max 1 time per turn).",Laboratory 0,czn_equipment_images\Chimeranite.png
Consecrated Halo,Armor,Mystic,+25% Shield Gain,The Foretold Ruin,czn_equipment_images\Consecrated_Halo.png
Corrupted Core,Trinket,Mystic,"+15% Defense, Retain +20% Shield.",The Foretold Ruin,czn_equipment_images\Corrupted_Core.png
Dark Grip's Claws,Weapon,Mystic,Increase the damage of attack on all enemies by 25%.,The Blue Pot,czn_equipment_images\Dark_Grips_Claws.png
Dice of Derangement,Trinket,Mystic,"+8% max HP. At the end of battle, if HP below 50%, recover 8% max HP. If HP is 50% or higher, -5 for the combatant with the highest Stress.",Beat Senectus,czn_equipment_images\Dice_of_Derangement.png
Dice of Discord,Trinket,Mystic,"At the end of turn, 40% x 2-6 Fixed Damage to a random enemies, and trigger 200% Fixed Damage on allies with one random 1 effect.","The Blue Pot, Twin Star's Shadow, Theater of Illusions",czn_equipment_images\Dice_of_Discord.png
Dormant Seeds,Trinket,Mystic,"On gaining Shield, +100% Fixed Shield (1 per turn).",Swamp of Judgment,czn_equipment_images\Dormant_Seeds.png
Eye of Gluttony,Trinket,Mystic,"+40% Damage. At the end of the turn, 30% chance to Exhaust 1 card in hand.",City of Mist,czn_equipment_images\Eye_of_Gluttony.png
Eye of the Punisher,Trinket,Mystic,"If the enemy is alone, increase damage by 30%.",The Foretold Ruin,czn_equipment_images\Eye_of_the_Punisher.png
Foggy Crystal Ball,Weapon,Mystic,40% Damage for Attack cards with Cost 0.,City of Mist,czn_equipment_images\Foggy_Crystal_Ball.png
Forbidden Bible,Trinket,Mystic,"At the start of your turn after 4 turns from battle start, 550% Fixed Damage to all enemies.",The Blue Pot,czn_equipment_images\Forbidden_Bible.png
Formica's Perfect Spear,Weapon,Mystic,+7% Damage per enemy. +10% All-Attack Damage.,Twin Star's Shadow,czn_equipment_images\Formicas_Perfect_Spear.png
Fragment of the Empty Void,Armor,Mystic,"At the start of battle, Discard up to 3 cards, Draw equal to the number.",City of Mist,czn_equipment_images\Fragment_of_the_Empty_Void.png
Gloomy Prime's Eye,Trinket,Mystic,"At the start of battle, +40% Shield.",The Blue Pot,czn_equipment_images\Gloomy_Primes_Eye.png
Intellect of Discord,Weapon,Mystic,"+18% Attack. On Ravage, allies' Stress -1.",Beat Senectus,czn_equipment_images\Intellect_of_Discord.png
Kentris Chitin Armor,Armor,Mystic,+15% Ally Shield Gain.,The Blue Pot,czn_equipment_images\Kentris_Chitin_Armor.png
